seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
9.58,0.10,-0.52,-9.10,0.02,0.01,-0.00
9.63,0.13,-0.50,-9.16,0.01,0.01,-0.01
9.69,0.12,-0.51,-9.14,0.01,0.00,-0.01
9.74,0.14,-0.47,-9.12,0.02,0.00,-0.01
9.80,0.12,-0.49,-9.14,0.02,0.01,-0.01
9.85,0.11,-0.49,-9.12,0.02,0.00,-0.00
9.91,0.11,-0.49,-9.16,0.01,0.00,-0.00
9.97,0.14,-0.50,-9.14,0.02,0.01,-0.00
10.02,0.11,-0.49,-9.14,0.02,0.00,-0.00
10.08,0.11,-0.52,-9.14,0.01,0.00,-0.01
10.13,0.10,-0.51,-9.14,0.02,0.01,-0.01
10.19,0.11,-0.49,-9.10,0.01,0.00,-0.01
10.25,0.12,-0.52,-9.12,0.03,0.01,-0.01
10.30,0.11,-0.50,-9.12,0.02,0.01,-0.01
10.36,0.10,-0.50,-9.10,0.01,0.00,-0.01
10.41,0.13,-0.49,-9.15,0.02,0.01,-0.00
10.47,0.11,-0.52,-9.13,0.01,0.00,-0.01
10.52,0.11,-0.48,-9.14,0.01,0.00,-0.00
10.58,0.11,-0.48,-9.11,0.02,0.00,-0.01
10.64,0.11,-0.47,-9.13,0.01,0.00,-0.01
10.69,0.10,-0.50,-9.14,0.01,0.00,-0.01
10.75,0.10,-0.47,-9.11,0.01,0.00,-0.01
10.80,0.08,-0.49,-9.14,0.02,0.01,-0.00
10.86,0.12,-0.48,-9.12,0.01,0.00,-0.01
