ax,ay,az
-0.6321226630548837,-0.623168610284714,0.38581588893410457
-0.6304736072898015,-0.6059235590948769,0.2983274933321517
-0.6799268298154029,-0.640767995101109,0.24129953187423978
-0.7069285035651686,-0.6358398266412786,0.16289941915398073
-0.7187838123520267,-0.6345201552772257,0.07146168357272627
-0.7325955563846531,-0.6217373061285993,-0.004279703563503594
-0.058551034088972304,0.08936986929145599,-0.992278448035359
-0.1938968254135263,-0.03952259463933062,-0.976173412591649
-0.3559824576541472,-0.20111260754399243,-0.9006881541789484
-0.4447668928416917,-0.288792253492238,-0.8290423074527635
-0.5078347218781298,-0.35975806169842023,-0.7573930145518099
-0.5528856425533659,-0.4172376285373734,-0.6875149397513313
-0.590932691683436,-0.4672359059087677,-0.6156492320661272
-0.620047571518594,-0.5081974238979883,-0.5465949346076742
-0.645373032057971,-0.5447930603019591,-0.47328051084180295
-0.6621473556138772,-0.5743416407768106,-0.4048280727298597
-0.6744352003339313,-0.6027404073015226,-0.33575228149141895
-0.6863271849161037,-0.6277665509329385,-0.24820338241699047
-0.6628603802379153,-0.6208664857503035,-0.16248373328440446
-0.6893210301221587,-0.6633883942807245,-0.08826997178452228
-0.0859198818480899,0.10522878602396417,-0.9884006389750912
-0.22646293170047083,0.2283720501215704,-0.9467653887537552
-0.40694034876113805,0.4003262417553126,-0.8299856038123992
-0.4778176284883082,0.4607702614771283,-0.7140372447519605
-0.5675757765457041,0.5408359734266983,-0.6571698719367255
-0.6200082930877325,0.5874692286505068,-0.571103620896171
-0.6650219801981464,0.6198597751928856,-0.49007354057236174
-0.7004242913801019,0.6467432759069376,-0.4117190041045958
-0.7272405243200507,0.663692282600105,-0.3326954766179309
-0.7660683107436702,0.6904503429697169,-0.18627646304903558
-0.7490728928297109,0.6684408251732091,-0.09606350627113157
-0.7559245454232166,0.6677634564483563,-0.017115615328409845
-0.79178336001608,0.6903674428568949,0.0640256623563998
-0.05677208960320825,0.16985268833935716,-0.9822525739647026
0.06752761067348019,0.05678846811105858,-0.9965863418008317
0.26431673300657604,-0.17237014890731014,-0.9569534757466482
0.33880839579575367,-0.261547525616194,-0.8811733789415839
0.4170478752706465,-0.34776328971511955,-0.8333723530433639
0.4988360410539724,-0.425535787716454,-0.7993094927987243
0.5457947302085124,-0.4871107617432144,-0.7358156869483352
0.5667892802075227,-0.5162661501453454,-0.6513350012412369
0.6004938754543969,-0.5529265268849974,-0.5866787660433588
0.6571837976906246,-0.6140670553751257,-0.5447564286441096
0.6572109250891002,-0.6191143888575603,-0.45886219095103514
0.6821831270385165,-0.6480970103618141,-0.38637446966385336
0.7308226934831669,-0.6998781560380162,-0.321803955389783
0.7457763301043697,-0.7165587674619921,-0.24432644143566773
-0.13904198073611856,0.1755980391836722,-0.972715028167451
0.007072726558597872,0.301394223101463,-0.9507839832166644
0.18459388497275397,0.44366204270502,-0.8715135357925765
0.27868556144655104,0.5131455167314403,-0.8004745140990434
0.3418500390931086,0.5429687075165539,-0.704885343676479
0.41828468634236693,0.6084766630124752,-0.6554778383058609
0.4693219574679237,0.6376020333378535,-0.5816130752733302
